airport_ident,length_ft,surface,lighted,closed
0IA1,42,CONC-G,0,0
0IA2,60,CONC,0,0
0IA4,3000,TURF,1,0
0IA5,2000,TURF,0,0
0IA7,145,CONC,0,0
0IA7,45,CONC,0,0
0IA8,1280,TURF,0,0
0IA9,50,TURF,0,0
0ID0,3000,TURF,0,0
0ID1,1900,TURF-G,0,0
0ID2,6507,ASPH,0,0
0ID3,2640,DIRT,0,0
0ID4,3150,TURF,0,0
0ID5,1460,TURF-DIRT-F,0,0
0ID6,40,CONC,1,0
0ID7,2600,DIRT,0,0
0ID8,800,TURF,0,0
0ID9,2308,Turf/Dirt,0,0
0II0,1500,TURF,0,0
0II2,1300,TURF,0,0
0II7,2500,TURF,0,0
0II8,1400,TURF-G,0,0
0II9,1600,TURF,0,0
0IL0,30,CONC-G,0,0
0IL1,90,CONC,0,0
0IL2,1600,TURF-G,0,0
0IL4,40,CONC-G,0,0
0IL6,40,CONC,1,0
0IL6,40,CONC,1,0
0IL7,2024,Turf,0,0
0IL8,1600,TURF,0,0
0IL9,2800,TURF,0,0
0IN1,2000,TURF,0,0
0IN2,1300,TURF,0,0
0IN2,2900,TURF,1,0
0IN4,2440,ASPH,0,0
0IN5,1200,TURF,0,0
0IN9,2400,TURF,0,0
0IS0,40,ASPH,0,0
0IS2,60,CONC,1,0
0IS3,2500,TURF-GRVL,0,0
0IS6,100,CONC,0,0
0IS9,500,TURF,0,0
0J0,2915,ASPH-G,1,0
0J8,3200,TURF-F,1,0
0JY9,50,CON,0,0
0K6,1575,TURF-G,0,0
0KS0,2600,TURF,0,0
0KS4,2000,TURF,0,0
0KS7,2000,TURF,0,0
0KS8,1700,TURF,0,0
0KS9,3000,TURF,0,0
0KY0,2300,TURF,0,0
0KY1,3200,ASPH,0,0
0KY4,1675,TURF,0,0
0KY5,2800,TURF,0,0
0KY7,2200,TURF,0,0
0L4,6100,DIRT-G,0,0
0L6,50,CONC-G,1,0
0LA0,25,CONC,0,0
0LA1,3000,TURF,0,0
0LA3,2700,TURF,0,0
0LA4,40,CONC,1,0
0LA5,400,CONC,0,0
0LA7,750,ASPH,1,0
0LA8,50,CONC,0,0
0LA9,2200,TURF,0,0
0LL0,2030,TURF,1,0
0LL1,2500,TURF,0,0
0LL2,2600,TURF,0,0
0LL3,2000,TURF,0,0
0LL4,2143,TURF,0,0
0LL5,2230,TURF,0,0
0LL6,2600,TURF,0,0
0LL7,40,ASPH,0,0
0LS0,3000,TURF,0,0
0LS3,100,TURF,0,0
0LS5,650,TURF,0,0
0LS7,3000,TURF-G,0,0
0LS8,2500,TURF,0,0
0LS9,1530,TURF-GRVL-P,0,0
0MA1,60,ASPH,0,0
0MA2,60,ASPH,0,0
0MA3,1600,ASPH,0,0
0MA4,40,CONC,0,0
0MA5,100,SOD,0,0
0MA6,50,ASPH,0,0
0MA9,25,TURF,0,0
0MD0,79,CONC,0,0
0MD1,3000,TURF,0,0
0MD2,2200,TURF,1,0
0MD2,75,TURF,0,0
0MD4,2600,TURF,1,0
0MD6,1800,TURF,0,0
0MD7,100,TURF,0,0
0MD9,55,CONC,1,0
0ME4,2000,TURF,0,0
0ME7,4000,Water,0,0
0MI1,3500,TURF,0,0
0MI3,1800,TURF,0,0
0MI3,2400,TURF,0,0
0MI3,3700,TURF,0,0
0MI4,3000,TURF,0,0
0MI6,2200,TURF,1,0
0MI7,35,CONC,1,0
0MI8,1600,Torf,0,0
0MI8,2800,Turf,0,0
0MI9,50,CONC,1,0
0MN0,5500,WATER,0,0
0MN2,11000,WATER,0,0
0MN3,5000,WATER,0,0
0MN3,5000,WATER,0,0
0MN4,5000,WATER,0,0
0MN6,2500,TURF,1,0
0MN7,120,ASPH,0,0
0MN9,50,CONC,1,0
0MO0,1685,TURF,0,0
0MO1,2100,TURF,0,0
0MO2,1200,TURF,0,0
0MO4,18,CONC,0,0
0MO5,1800,TURF,0,0
0MO7,65,CONC,1,0
0MO8,2600,TURF,0,0
0MS0,3200,ASPH,0,0
0MS2,2300,TURF,0,0
0MS3,30,CONC,0,0
0MS6,240,TURF-G,0,0
0MS8,4000,TURF,0,0
0MS9,3200,TURF,1,0
0MT1,1500,DIRT,0,0
0MT2,30,CONC,0,0
0MT3,40,TURF,0,0
0MT4,1000,TURF,0,0
0MT5,750,TURF,0,0
0MT6,2400,TURF,0,0
0MT7,3800,TURF,0,0
0MT8,100,ASPH-TURF,0,0
0MT9,1700,TURF,0,0
0MU1,2000,TURF,0,0
0MU2,20,CONC,0,0
0MU3,60,CONC,0,0
0MU4,1700,TURF,0,0
0MU5,30,CONC,0,0
0MU6,60,CONC,0,0
0MU7,2600,TURF,0,0
0MU8,800,TURF,0,0
0MY0,200,GRVL,0,0
0MY1,30,CONC,0,0
0N0,2780,ASPH-G,1,0
0N4,2533,ASPH-P,1,0
0N5,60,ASPH-G,1,0
0N6,2048,TURF-G,0,0
0NA1,2600,TURF,0,0
0NA5,2200,TURF,0,0
0NA9,2200,TURF,0,0
0NC0,50,CONC,0,0
0NC2,78,CONC,0,0
0NC3,70,TURF,0,0
0NC4,70,CONC,0,0
0NC5,40,CONC,1,0
0NC6,200,TURF,0,0
0NC7,1700,TURF,0,0
0NC8,2300,TURF,0,0
0NC9,60,CONC,0,0
0ND0,2600,TURF,0,0
0ND6,1600,TURF,0,0
0ND7,2600,TURF,0,0
0NE0,2300,TURF,0,0
0NE0,1800,TURF,0,0
0NE1,2500,TURF,0,0
0NE3,40,CONC,0,0
0NE4,30,CONC,0,0
0NE6,3500,ASPH,0,0
0NJ0,51,MATS,1,0
0NJ1,200,ASPH-G,0,0
0NJ2,200,TURF,0,0
0NJ3,305,ASPH-TURF,0,0
0NJ4,40,CONC,0,0
0NJ6,2950,TURF,0,0
0NJ7,75,GRAVEL,0,0
0NJ8,75,ASPH,0,0
0NJ9,85,ASPH,0,0
0NK0,1400,TURF,0,0
0NK1,2100,TURF,0,0
