Locid,Airport Name,CY 23 Enplanements
AHN,Athens/Ben Epps,"2,023"
SSI,St Simons Island,642
MGE,Dobbins ARB,641
VAD,Moody AFB,571
FTY,Fulton County Exec/Charlie Brown Field,295
LSF,Lawson AAF (Fort Moore),232
DNL,Daniel Field,161
TVI,Thomasville Regional,96
LZU,Gwinnett County/Briscoe Field,76
GVL,Lee Gilmer Memorial,72
VDI,Vidalia Regional,65
CPP,Greene County Regional,61
CCO,Newnan Coweta County,60
GA14,Pinebloom Plantation,47
CNI,Cherokee County Regional,40
RYY,Cobb County International/McCollum Field,37
BGE,Decatur County Industrial Air Park,35
TOC,Toccoa - R G LeTourneau Field,20
CXU,Camilla-Mitchell County,17
MGR,Moultrie Municipal,16
VPC,Cartersville,14
LGC,Lagrange/Callaway,13
HQU,Thomson/McDuffie County,11
PUJ,Paulding Northwest Atlanta,11
AJR,Habersham County,10
DQH,Douglas Municipal,9
SYV,Sylvester,9
DNN,Dalton Municipal,8
CVC,Covington Municipal,7
MLJ,Baldwin County Regional,7
4J2,Berrien County,6
LHW,Wright AAF (Fort Stewart)/Midcoast Regional,6
AYS,Waycross-Ware County,5
CTJ,West Georgia Regional/O V Gray Field,5
MAC,Macon Downtown,5
FZG,Fitzgerald Municipal,4
GE99,Heaven's Landing,4
JZP,Pickens County,4
RMG,Richard B Russell Regional - J H Towers Field,4
TMA,Henry Tift Myers,4
CZL,Tom B David Field,3
HMP,Atlanta Speedway,3
09J,Jekyll Island,2
FFC,Atlanta Regional Falcon Field,2
52A,Madison Municipal,1
9A5,Barwick Lafayette,1
CKF,Crisp County-Cordele,1
CWV,Claxton-Evans County,1
DZJ,Blairsville,1
OPN,Thomaston-Upson County,1
TBR,Statesboro-Bulloch County,1
GUM,Guam International,"860,519"
UAM,Andersen AFB,"8,406"
HNL,Daniel K Inouye International,"10,149,761"
OGG,Kahului,"3,745,866"
KOA,Ellison Onizuka Kona International at Keahole,"2,097,042"
LIH,Lihue,"1,814,359"
ITO,Hilo International,"684,175"
MKK,Molokai,"85,341"
LNY,Lanai,"34,430"
JHM,Kapalua,"3,683"
MUE,Waimea-Kohala,"3,598"
LUP,Kalaupapa,"3,085"
HNM,Hana,"2,085"
NGF,Kaneohe Bay MCAS (Marion E Carl Field),"1,660"
HDH,Kawaihapai Airfield,3
DSM,Des Moines International,"1,519,262"
CID,The Eastern Iowa,"691,094"
SUX,Sioux Gateway/Brig General Bud Day Field,"27,111"
DBQ,Dubuque Regional,"16,482"
ALO,Waterloo Regional,"12,885"
FOD,Fort Dodge Regional,"6,195"
MCW,Mason City Municipal,"5,780"
BRL,Southeast Iowa Regional,"4,076"
IOW,Iowa City Municipal,"2,553"
IKV,Ankeny Regional,324
SPW,Spencer Municipal,20
AMW,Ames Municipal,19
OXV,Knoxville Municipal,5
EST,Estherville Municipal,4
AXA,Algona Municipal,3
SLB,Storm Lake Municipal,3
VTI,Vinton Veterans Memorial Airpark,3
DVN,Davenport Municipal,1
OTM,Ottumwa Regional,1
